"species","site","awcA","phTotal","sandA","shcA","solumDepth","bio5","bio6","bio15","bio18","bio19","Lat","Long"
"spp1",1066,14.472499,546.179992,71.324996,178.865005,875.172485,31.4382354,5.0588233,40.382354,0,132.647064,-32.99424536,118.7572941
"spp1",1026,16.257499,470.994995,68.897499,105.839996,928.492492,33.1441162,4.8529411,48.205883,0,140.294113,-32.04284648,118.3495495
"spp1",1025,23.1375,459.742492,71.470001,88.355003,892.227478,32.8399993,4.8171428,53.885715,43,145.057144,-31.99067034,117.8259582
"spp1",1026,16.257499,470.994995,68.897499,105.839996,928.492492,33.1441162,4.8529411,48.205883,0,140.294113,-32.04284648,118.3495495
"spp1",1027,17.017499,489.394989,74.677497,147.212493,951.905029,33.178125,4.590625,44,0,135.6875,-32.0932619,118.8736097
"spp1",1047,17.362499,515.082519,75.752502,164.1875,981.474975,32.6157897,4.6763156,42,0,134.026321,-32.54354434,118.8156813
"spp1",1048,21.024999,525.034973,73.832496,151.684997,960.585021,32.05484,4.919355,38.774192,0,133.806457,-32.59243435,119.3422405
"spp1",1066,14.472499,546.179992,71.324996,178.865005,875.172485,31.4382354,5.0588233,40.382354,0,132.647064,-32.99424536,118.7572941
"spp1",1066,14.472499,546.179992,71.324996,178.865005,875.172485,31.4382354,5.0588233,40.382354,0,132.647064,-32.99424536,118.7572941
"spp1",1067,15.42,556.67749,73.9375,203.470001,870.794982,30.9111114,5.1416667,34.583332,0,131.055557,-33.04337913,119.2859147
"spp1",1081,22.204999,669.599975,72.917503,183.527496,969.132507,30.6090911,5.3060607,54.515151,0,178.575759,-33.34127146,117.6384722
"spp1",1065,15.284999,576.42749,70.275001,120.717498,860.984985,31.3714294,4.9057144,46.857143,0,143.971435,-32.94333183,118.2291378
"spp1",1066,14.472499,546.179992,71.324996,178.865005,875.172485,31.4382354,5.0588233,40.382354,0,132.647064,-32.99424536,118.7572941
"spp1",1066,14.472499,546.179992,71.324996,178.865005,875.172485,31.4382354,5.0588233,40.382354,0,132.647064,-32.99424536,118.7572941
"spp1",1065,15.284999,576.42749,70.275001,120.717498,860.984985,31.3714294,4.9057144,46.857143,0,143.971435,-32.94333183,118.2291378
"spp1",1067,15.42,556.67749,73.9375,203.470001,870.794982,30.9111114,5.1416667,34.583332,0,131.055557,-33.04337913,119.2859147
"spp1",1082,17.612499,588.914978,69.542503,136.059997,882.65747,30.2810821,5.162162,46.189189,0,147.48648,-33.39422801,118.1682145
"spp2",915,30.28,444.285003,72.777496,133.184997,1094.122558,35.0147064,4.9676471,47.117645,0,122.676467,-30.19494908,118.0691823
"spp2",912,14.3175,398.744995,74.802497,134.752502,1182.362548,35.3151519,6.1121212,62.393939,0,165.575759,-30.03094065,116.5251987
"spp2",972,24.84,425.220001,64.462501,113.507499,1079.939941,33.9,5.161111,47.916667,0,130.472229,-31.14387829,118.4680851
"spp2",998,23.8225,456.359985,73,178.957504,1011.30249,33.8176483,5.4352939,57.176471,0,156.029418,-31.48758337,117.3663838
"spp2",998,23.8225,456.359985,73,178.957504,1011.30249,33.8176483,5.4352939,57.176471,0,156.029418,-31.48758337,117.3663838
"spp2",973,19.3425,450.695007,69.182502,132.820007,1038.805053,33.8571441,4.6428569,45.2,0,126.285713,-31.19381831,118.9881114
"spp2",969,19.475,479.232513,74.434997,157.217498,1061.347534,34.1171417,5.9371429,60.57143,0,170.371429,-30.98359715,116.9108154
"spp2",968,21.229999,605.5,71.915,187.137496,1135.680053,34.0625,6.14375,70.65625,0,237.8125,-30.92669251,116.3927121
"spp2",968,21.229999,605.5,71.915,187.137496,1135.680053,34.0625,6.14375,70.65625,0,237.8125,-30.92669251,116.3927121
"spp2",1000,21.415,445.315002,74.879997,167.847503,1080.362548,33.254544,4.9,48.848484,0,137.030303,-31.5931893,118.409049
"spp2",1026,16.257499,470.994995,68.897499,105.839996,928.492492,33.1441162,4.8529411,48.205883,0,140.294113,-32.04284648,118.3495495
"spp2",1067,15.42,556.67749,73.9375,203.470001,870.794982,30.9111114,5.1416667,34.583332,0,131.055557,-33.04337913,119.2859147
"spp2",1026,16.257499,470.994995,68.897499,105.839996,928.492492,33.1441162,4.8529411,48.205883,0,140.294113,-32.04284648,118.3495495
"spp2",883,17.097499,415.127502,70.017501,112.480003,985.530029,36.05,6.6058822,64.529411,0,168.882354,-29.52556414,116.0789485
"spp2",910,23.497499,479.320007,82.440002,521.984985,1247.704956,34.2911773,7.7,79,0,283.617645,-29.91299802,115.4983837
"spp2",914,19.149999,348.149993,65.432502,109.964996,947.267517,35.3111114,5.5944442,53.388889,0,131.055557,-30.14200408,117.554039
"spp2",882,22.392499,494.122497,76.690002,357.722503,1183.902465,35.5057128,7.4485717,75.371429,0,228.65715,-29.46599494,115.5677323
"spp2",883,17.097499,415.127502,70.017501,112.480003,985.530029,36.05,6.6058822,64.529411,0,168.882354,-29.52556414,116.0789485
"spp2",885,20.2775,411.41751,76.6025,185.115005,967.414978,36.0485717,5.6799999,54.514286,0,128.742858,-29.63956914,117.1029112
"spp2",885,20.2775,411.41751,76.6025,185.115005,967.414978,36.0485717,5.6799999,54.514286,0,128.742858,-29.63956914,117.1029112
"spp2",883,17.097499,415.127502,70.017501,112.480003,985.530029,36.05,6.6058822,64.529411,0,168.882354,-29.52556414,116.0789485
"spp2",884,17.03,333.440002,71.595001,165.725006,956.54248,36.1875,6.13125,58.75,0,141.125,-29.58342315,116.5906796
"spp2",1080,21.532499,859.267517,79.767501,252.117492,1069.592529,30.6085723,5.1657142,61.542858,42,214.085708,-33.28653298,117.1092319
"spp2",1083,13.927499,585.432495,73.147499,218.619995,867.91748,30.1212127,5.2969696,38.272727,0,133.030303,-33.44539947,118.6984427
"spp2",1080,21.532499,859.267517,79.767501,252.117492,1069.592529,30.6085723,5.1657142,61.542858,42,214.085708,-33.28653298,117.1092319
"spp2",1085,16.93,646.867492,71.364997,168.587493,848.770019,29.077777,6.011111,29.166666,0,137.222229,-33.54237499,119.7602921
"spp2",1084,12.975,662.492492,67.707496,177.417495,778.840026,29.575,5.475,31.75,0,132.611114,-33.49478279,119.2291406
"spp2",1067,15.42,556.67749,73.9375,203.470001,870.794982,30.9111114,5.1416667,34.583332,0,131.055557,-33.04337913,119.2859147
"spp2",1083,13.927499,585.432495,73.147499,218.619995,867.91748,30.1212127,5.2969696,38.272727,0,133.030303,-33.44539947,118.6984427
