implementation,model,df,RMSE,MAE,CRPS,rhat_max,mcmc_time_s
gdmbayes_freq,GDM_df3,3,0.0947,0.0765,0.0765,,
gdmbayes_freq,GDM_df4,4,0.0923,0.0748,0.0748,,
R_gdm,gdm_splines3,3,0.0934,0.0762,0.0762,,
R_gdm,gdm_splines4,4,0.0919,0.0731,0.0731,,
gdmbayes_bayes,model_1,4,0.0957,0.0798,0.053,1.015,57.3
gdmbayes_bayes,model_2,4,0.0949,0.0769,0.0529,1.009,28.2
gdmbayes_bayes,model_4,4,0.0787,0.0621,0.0433,1.745,687.5
gdmbayes_bayes,model_7,4,0.0763,0.0611,0.0425,1.742,278.7
White_NIMBLE,model_1,4,0.0956,0.0797,0.0529,1.126,55.6
White_NIMBLE,model_2,4,0.0951,0.0771,0.053,1.018,93.6
White_NIMBLE,model_4,4,0.0754,0.0606,0.0411,1.092,60.6
White_NIMBLE,model_7,4,0.0694,0.0556,0.0389,1.096,103.6
