"site","xc","yc","UTM.EW","UTM.NS","Precipitation","Elevation","Age.cat","Geology","Habitat","Stream","EnvHet"
1,50,50,625753.967,1011568.985,2530,120,"c3","Tb","OldSlope","Yes",0.6272
2,150,50,625753.967,1011668.985,2530,120,"c3","Tb","OldLow","Yes",0.3936
3,250,50,625753.967,1011768.985,2530,120,"c3","Tb","OldLow","No",0
4,350,50,625753.967,1011868.985,2530,120,"c3","Tb","OldLow","No",0
5,450,50,625753.967,1011968.985,2530,120,"c3","Tb","OldSlope","No",0.4608
6,550,50,625853.967,1011568.985,2530,120,"c3","Tb","OldLow","No",0.0768
7,650,50,625853.967,1011668.985,2530,120,"c3","Tb","OldLow","Yes",0.3808
8,750,50,625853.967,1011768.985,2530,120,"c3","Tb","OldLow","Yes",0.2112
9,850,50,625853.967,1011868.985,2530,120,"c3","Tb","OldLow","No",0
10,950,50,625853.967,1011968.985,2530,120,"c3","Tb","OldLow","No",0
11,50,150,625953.967,1011568.985,2530,120,"c3","Tb","OldLow","No",0.4032
12,150,150,625953.967,1011668.985,2530,120,"c3","Tb","OldLow","No",0
13,250,150,625953.967,1011768.985,2530,120,"c3","Tb","OldLow","Yes",0.6624
14,350,150,625953.967,1011868.985,2530,120,"c3","Tb","OldLow","No",0.1472
15,450,150,625953.967,1011968.985,2530,120,"c3","Tb","OldLow","No",0
16,550,150,626053.967,1011568.985,2530,120,"c3","Tb","OldSlope","No",0.4608
17,650,150,626053.967,1011668.985,2530,120,"c3","Tb","OldLow","No",0
18,750,150,626053.967,1011768.985,2530,120,"c3","Tb","Swamp","No",0.6592
19,850,150,626053.967,1011868.985,2530,120,"c3","Tb","OldLow","No",0.0768
20,950,150,626053.967,1011968.985,2530,120,"c3","Tb","OldLow","No",0.2112
21,50,250,626153.967,1011568.985,2530,120,"c3","Tb","OldSlope","No",0.2688
22,150,250,626153.967,1011668.985,2530,120,"c3","Tb","OldLow","No",0.2112
23,250,250,626153.967,1011768.985,2530,120,"c3","Tb","Swamp","No",0.624
24,350,250,626153.967,1011868.985,2530,120,"c3","Tb","OldLow","No",0.4352
25,450,250,626153.967,1011968.985,2530,120,"c3","Tb","OldLow","No",0.608
26,550,250,626253.967,1011568.985,2530,120,"c3","Tb","OldSlope","No",0.3648
27,650,250,626253.967,1011668.985,2530,120,"c3","Tb","OldLow","No",0
28,750,250,626253.967,1011768.985,2530,120,"c3","Tb","OldLow","No",0.3328
29,850,250,626253.967,1011868.985,2530,120,"c3","Tb","OldHigh","No",0.6528
30,950,250,626253.967,1011968.985,2530,120,"c3","Tb","Young","No",0.6144
31,50,350,626353.967,1011568.985,2530,120,"c3","Tb","OldLow","No",0.4928
32,150,350,626353.967,1011668.985,2530,120,"c3","Tb","OldHigh","No",0.7264
33,250,350,626353.967,1011768.985,2530,120,"c2","Tb","OldHigh","No",0.0768
34,350,350,626353.967,1011868.985,2530,120,"c3","Tb","OldHigh","No",0
35,450,350,626353.967,1011968.985,2530,120,"c3","Tb","Young","No",0.3328
36,550,350,626453.967,1011568.985,2530,120,"c3","Tb","OldSlope","No",0.4032
37,650,350,626453.967,1011668.985,2530,120,"c3","Tb","OldHigh","No",0.3648
38,750,350,626453.967,1011768.985,2530,120,"c3","Tb","OldHigh","No",0
39,850,350,626453.967,1011868.985,2530,120,"c3","Tb","OldHigh","No",0
40,950,350,626453.967,1011968.985,2530,120,"c3","Tb","OldHigh","No",0.6208
41,50,450,626553.967,1011568.985,2530,120,"c3","Tb","OldSlope","No",0.4032
42,150,450,626553.967,1011668.985,2530,120,"c3","Tb","OldSlope","No",0.1472
43,250,450,626553.967,1011768.985,2530,120,"c3","Tb","OldSlope","No",0.0768
44,350,450,626553.967,1011868.985,2530,120,"c3","Tb","OldSlope","No",0.5568
45,450,450,626553.967,1011968.985,2530,120,"c3","Tb","OldSlope","Yes",0.3424
46,550,450,626653.967,1011568.985,2530,120,"c3","Tb","OldLow","No",0.1472
47,650,450,626653.967,1011668.985,2530,120,"c3","Tb","OldLow","No",0.3648
48,750,450,626653.967,1011768.985,2530,120,"c3","Tb","OldLow","No",0.4608
49,850,450,626653.967,1011868.985,2530,120,"c3","Tb","OldLow","No",0.4992
50,950,450,626653.967,1011968.985,2530,120,"c3","Tb","OldSlope","Yes",0.6368
